orig_string	country	city	city_wd	parent_institution_normalized	parent_type	parent_wd	parent_wikidata_uri	parent_reconci	parent_factgrid	parent_ROR	parent_ROR_link	parent_url	institutional_subunit_normalized	subunit_wd	subunit_wikidata_uri	subunit_reconci	subunit_factgrid	subunit_ROR	subunit_ROR_link	subunit_url
Austrian Centre for Digital Humanities and Cultural Heritage	Österreich	Wien	Q1741	Österreichische Akademie der Wissenschaften	Akademie	Q299015	http://www.wikidata.org/entity/Q299015	Österreichische Akademie der Wissenschaften	Q399974	03anc3s24	https://ror.org/03anc3s24		Austrian Centre for Digital Humanities and Cultural Heritage	Q30268470	http://www.wikidata.org/entity/Q30268470	Austrian Centre for Digital Humanities and Cultural Heritage		028bsh698	https://ror.org/028bsh698	
Bayerische Akademie der Wissenschaftten, Germany	Deutschland	München	Q1726	Bayerische Akademie der Wissenschaften	Akademie	Q684415	http://www.wikidata.org/entity/Q684415	Bayerische Akademie der Wissenschaften	Q164305	001rdaz60	https://ror.org/001rdaz60									
Bayerische Staatsbibliothek, Germany	Deutschland	München	Q1726	Bayerische Staatsbibliothek	Bibliothek	Q256507	http://www.wikidata.org/entity/Q256507	Bayerische Staatsbibliothek	Q153197	031h71w90	https://ror.org/031h71w90									
Berlin-Brandenburgische Akademie der Wissenschaften	Deutschland	Berlin	Q64	Berlin-Brandenburgische Akademie der Wissenschaften	Akademie	Q219989	http://www.wikidata.org/entity/Q219989	Berlin-Brandenburgische Akademie der Wissenschaften	Q230420	05jgq9443	https://ror.org/05jgq9443									
Computational Humanities Group, Universität Leipzig	Deutschland	Leipzig	Q2079	Universität Leipzig	Universität	Q154804	http://www.wikidata.org/entity/Q154804	Universität Leipzig	Q22261	03s7gtk40	https://ror.org/03s7gtk40									
DARIAH-EU				DARIAH-EU	ERIC	Q49103279	http://www.wikidata.org/entity/Q49103279	Digital Research Infrastructure for the Arts and Humanities												
Higher School of Economics, Moskau	Russland	Moskau	Q649	National Research University Higher School of Economics	Universität	Q1959511	http://www.wikidata.org/entity/Q1959511	Nationale Forschungsuniversität - Hochschule der Wirtschaftswissenschaft		055f7t516	https://ror.org/055f7t516									
Data Center for the Humanites (DCH), Universität zu Köln, Deutschland	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774		Data Center for the Humanites							
Data Center for the Humanities (DCH), Universität zu Köln, Deutschland	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774		Data Center for the Humanites							
Deutsches Forschungszentrum für Künstliche Intelligenz (DFKI), Speech and Language Technology Lab	Deutschland			Deutsches Forschungszentrum für Künstliche Intelligenz		Q896469	http://www.wikidata.org/entity/Q896469	Deutsches Forschungszentrum für Künstliche Intelligenz		01ayc5b57	https://ror.org/01ayc5b57		Speech and Language Technology Lab							
Deutsches Literaturarchiv Marbach, Germany	Deutschland	Marbach	Q61890	Deutsches Literaturarchiv Marbach	Archiv	Q1205813	http://www.wikidata.org/entity/Q1205813	Deutsches Literaturarchiv Marbach		05x75gh12	https://ror.org/05x75gh12									
Deutsches Literaturarchiv Marbach	Deutschland	Marbach	Q61890	Deutsches Literaturarchiv Marbach	Archiv	Q1205813	http://www.wikidata.org/entity/Q1205813	Deutsches Literaturarchiv Marbach		05x75gh12	https://ror.org/05x75gh12									
École polytechnique fédérale de Lausanne ‐ EPFL	Schweiz	Lausanne	Q807	École polytechnique fédérale de Lausanne	Universität	Q262760	http://www.wikidata.org/entity/Q262760	École polytechnique fédérale de Lausanne		02s376052	https://ror.org/02s376052									
Fachhochschule Potsdam, Germany	Deutschland	Potsdam	Q1711	Fachhochschule Potsdam	Fachhochschule	Q896706	http://www.wikidata.org/entity/Q896706	Fachhochschule Potsdam		012m9bp23	https://ror.org/012m9bp23									
Fachhochschule Potsdam, UCLAB	Deutschland	Potsdam	Q1711	Fachhochschule Potsdam	Fachhochschule	Q896706	http://www.wikidata.org/entity/Q896706	Fachhochschule Potsdam		012m9bp23	https://ror.org/012m9bp23									
Fernuniversität Hagen, Germany	Deutschland	Hagen	Q2871	Fernuniversität Hagen	Universität	Q687017	http://www.wikidata.org/entity/Q687017	Fernuniversität Hagen		04tkkr536	https://ror.org/04tkkr536									
FH Potsdam, Deutschland	Deutschland	Potsdam	Q1711	Fachhochschule Potsdam	Fachhochschule	Q896706	http://www.wikidata.org/entity/Q896706	Fachhochschule Potsdam		012m9bp23	https://ror.org/012m9bp23									
Forschungszentrum Gotha der Universität Erfurt	Deutschland	Erfurt	Q1729	Universität Erfurt	Universität	Q702524	http://www.wikidata.org/entity/Q702524	Universität Erfurt	Q11263	03606hw36	https://ror.org/03606hw36		Forschungszentrum Gotha	Q1438165	http://www.wikidata.org/entity/Q1438165	Forschungszentrum Gotha der Universität Erfurt	Q11264			
Freie Universität Berlin, Germany	Deutschland	Berlin	Q64	Freie Universität Berlin	Universität	Q153006	http://www.wikidata.org/entity/Q153006	Freie Universität Berlin	Q77342	046ak2485	https://ror.org/046ak2485									
Freie Universität Berlin	Deutschland	Berlin	Q64	Freie Universität Berlin	Universität	Q153006	http://www.wikidata.org/entity/Q153006	Freie Universität Berlin	Q77342	046ak2485	https://ror.org/046ak2485									
Goethe- und Schiller-Archiv Weimar	Deutschland	Weimar	Q3955	Goethe- und Schiller-Archiv Weimar	Archiv	Q1534156	http://www.wikidata.org/entity/Q1534156	Goethe- und Schiller-Archiv	Q163339											
Goethe-Universität Frankfurt am Main, Deutschland	Deutschland	Frankfurt am Main	Q1794	Johann Wolfgang Goethe-Universität Frankfurt am Main	Universität	Q50662	http://www.wikidata.org/entity/Q50662	Goethe-Universität Frankfurt am Main		04cvxnb49	https://ror.org/04cvxnb49									
GWDG Göttingen	Deutschland	Göttingen	Q3033	Georg-August Universität Göttingen	Universität	Q152838	http://www.wikidata.org/entity/Q152838	Georg-August-Universität Göttingen	Q21872	01y9bpm73	https://ror.org/01y9bpm73		GWDG	Q1490164	http://www.wikidata.org/entity/Q1490164	Gesellschaft für wissenschaftliche Datenverarbeitung mbH Göttingen		00cd95c65	https://ror.org/00cd95c65	
Heidelberg Centre for Transcultural Studies, Universität Heidelberg, Germany	Deutschland	Heidelberg	Q2966	Ruprecht-Karls-Universität Heidelberg	Universität	Q151510	http://www.wikidata.org/entity/Q151510	Ruprecht-Karls-Universität Heidelberg	Q22237	038t36y30	https://ror.org/038t36y30		Heidelberg Centre for Transcultural Studies							
Heinrich-Heine-Universität Düsseldorf, Abteilung Wirtschaftsgeschichte	Deutschland	Düsseldorf	Q1718	Heinrich-Heine-Universität Düsseldorf	Universität	Q317032	http://www.wikidata.org/entity/Q317032	Heinrich-Heine-Universität Düsseldorf		024z2rq82	https://ror.org/024z2rq82		Abteilung Wirtschaftsgeschichte							
Heinrich-Heine-Universität Düsseldorf, Medizinische Fakultät, Institut für Geschichte, Theorie und Ethik der Medizin	Deutschland	Düsseldorf	Q1718	Heinrich-Heine-Universität Düsseldorf	Universität	Q317032	http://www.wikidata.org/entity/Q317032	Heinrich-Heine-Universität Düsseldorf		024z2rq82	https://ror.org/024z2rq82									
HSE University, Russian Federation	Russland	Moskau	Q649	National Research University Higher School of Economics	Universität	Q1959511	http://www.wikidata.org/entity/Q1959511	Nationale Forschungsuniversität - Hochschule der Wirtschaftswissenschaft		055f7t516	https://ror.org/055f7t516									
Humboldt-Universität zu Berlin, Germany	Deutschland	Berlin	Q64	Humboldt-Universität zu Berlin	Universität	Q152087	http://www.wikidata.org/entity/Q152087	Humboldt-Universität zu Berlin	Q22837	01hcx6992	https://ror.org/01hcx6992									
Humboldt-Universität zu Berlin, Institut für Bibliotheks- und Informationswissenschaft	Deutschland	Berlin	Q64	Humboldt-Universität zu Berlin	Universität	Q152087	http://www.wikidata.org/entity/Q152087	Humboldt-Universität zu Berlin	Q22837	01hcx6992	https://ror.org/01hcx6992		Institut für Bibliotheks- und Informationswissenschaft							
Humboldt-Universität zu Berlin	Deutschland	Berlin	Q64	Humboldt-Universität zu Berlin	Universität	Q152087	http://www.wikidata.org/entity/Q152087	Humboldt-Universität zu Berlin	Q22837	01hcx6992	https://ror.org/01hcx6992									
Institut für Architektur von Anwendungssystemen (IAAS) - Universität Stuttgart	Deutschland	Stuttgart	Q1022	Universität Stuttgart	Universität	Q122453	http://www.wikidata.org/entity/Q122453	Universität Stuttgart	Q160232	04vnq7t77	https://ror.org/04vnq7t77		Institut für Architektur von Anwendungssystemen							
Institut für Computerlinguistik, Universität Heidelberg, Germany	Deutschland	Heidelberg	Q2966	Ruprecht-Karls-Universität Heidelberg	Universität	Q151510	http://www.wikidata.org/entity/Q151510	Ruprecht-Karls-Universität Heidelberg	Q22237	038t36y30	https://ror.org/038t36y30		Institut für Computerlinguistik	Q101269988	http://www.wikidata.org/entity/Q101269988	Ruprecht-Karls-Universität Heidelberg Institut für Computerlinguistik				
Institut für Deutsche Literatur und ihre Didaktik, Universität Frankfurt	Deutschland	Frankfurt am Main	Q1794	Johann Wolfgang Goethe-Universität Frankfurt am Main	Universität	Q50662	http://www.wikidata.org/entity/Q50662	Goethe-Universität Frankfurt am Main		04cvxnb49	https://ror.org/04cvxnb49		Institut für Deutsche Literatur und ihre Didaktik	Q101263579	http://www.wikidata.org/entity/Q101263579	Goethe-Universität Frankfurt am Main Institut für Deutsche Literatur und ihre Didaktik				
Institut für Deutsche Philologie, JMU Würzburg	Deutschland	Würzburg	Q2999	Julius-Maximilians-Universität Würzburg	Universität	Q161976	http://www.wikidata.org/entity/Q161976	Julius-Maximilians-Universität Würzburg	Q34721	00fbnyb24	https://ror.org/00fbnyb24		Institut für Deutsche Philologie	Q101267603	http://www.wikidata.org/entity/Q101267603	Julius-Maximilians-Universität Würzburg Institut für deutsche Philologie				
Institut für Deutsche Philologie, Lehrstuhl für Computerphilologie und neuere deutsche Literaturgeschichte, Universität Würzburg	Deutschland	Würzburg	Q2999	Julius-Maximilians-Universität Würzburg	Universität	Q161976	http://www.wikidata.org/entity/Q161976	Julius-Maximilians-Universität Würzburg	Q34721	00fbnyb24	https://ror.org/00fbnyb24		Institut für Deutsche Philologie							
Institut für Deutsche Philologie, Lehrstuhl für Comuterphilologie und neuere deutsche Literaturgeschichte, Universität Würzburg	Deutschland	Würzburg	Q2999	Julius-Maximilians-Universität Würzburg	Universität	Q161976	http://www.wikidata.org/entity/Q161976	Julius-Maximilians-Universität Würzburg	Q34721	00fbnyb24	https://ror.org/00fbnyb24		Institut für Deutsche Philologie							
Institut für Informatik und digitale Bildung - Pädagogischen Hochschule Karlsruhe	Deutschland	Karlsruhe	Q1040	Pädagogische Hochschule Karlsruhe		Q1310061	http://www.wikidata.org/entity/Q1310061	Pädagogische Hochschule Karlsruhe		01t1kq612	https://ror.org/01t1kq612		Institut für Informatik und digitale Bildung							
Julius-Maximilians-Universität Würzburg	Deutschland	Würzburg	Q2999	Julius-Maximilians-Universität Würzburg	Universität	Q161976	http://www.wikidata.org/entity/Q161976	Julius-Maximilians-Universität Würzburg	Q34721	00fbnyb24	https://ror.org/00fbnyb24									
Karlsruher Institut für Technologie, Germany	Deutschland	Karlsruhe	Q1040	Karlsruher Institut für Technologie	Universität	Q309988	http://www.wikidata.org/entity/Q309988	Karlsruher Institut für Technologie		04t3en479	https://ror.org/04t3en479									
Københavns Universitet	Dänemark	Kopenhagen	Q1748	Københavns Universitet	Universität	Q186285	http://www.wikidata.org/entity/Q186285	Universität Kopenhagen	Q37223	035b05819	https://ror.org/035b05819									
Technische Universität Berlin	Deutschland	Berlin	Q64	Technische Universität Berlin	Universität	Q51985	http://www.wikidata.org/entity/Q51985	Technische Universität Berlin	Q405632	03v4gjf40	https://ror.org/03v4gjf40									
Le Mans Université	Frankreich	Le Mans	Q1476	Le Mans Université	Universität	Q834825	http://www.wikidata.org/entity/Q834825	Université du Mans		01mtcc283	https://ror.org/01mtcc283									
Lehrstuhl für Medieninformatik, Universität Regensburg, Germany	Deutschland	Regensburg	Q2978	Universität Regensburg	Universität	Q574571	http://www.wikidata.org/entity/Q574571	Universität Regensburg	Q172915	01eezs655	https://ror.org/01eezs655		Lehrstuhl für Medieninformatik							
Lehrstuhl für Medieninformatik, Universität Regensburg	Deutschland	Regensburg	Q2978	Universität Regensburg	Universität	Q574571	http://www.wikidata.org/entity/Q574571	Universität Regensburg	Q172915	01eezs655	https://ror.org/01eezs655		Lehrstuhl für Medieninformatik							
Leibniz-Institut für Deutsche Sprache	Deutschland			Institut für Deutsche Sprache Mannheim		Q1664834	http://www.wikidata.org/entity/Q1664834	Leibniz-Institut für Deutsche Sprache		00hvwkt50	https://ror.org/00hvwkt50									
Leibniz-Institut für Europäische Geschichte	Deutschland			Leibniz-Institut für Europäische Geschichte		Q327772	http://www.wikidata.org/entity/Q327772	Leibniz-Institut für Europäische Geschichte		059dyrr28	https://ror.org/059dyrr28									
Leipzig Universität, Deutschland	Deutschland	Leipzig	Q2079	Universität Leipzig	Universität	Q154804	http://www.wikidata.org/entity/Q154804	Universität Leipzig	Q22261	03s7gtk40	https://ror.org/03s7gtk40									
Literaturarchiv und Literaturmuseum Österreichische Nationalbibliothek	Österreich	Wien	Q1741	Österreichische Nationalbibliothek	Bibliothek	Q304037	http://www.wikidata.org/entity/Q304037	Österreichische Nationalbibliothek	Q219414	03dscga50	https://ror.org/03dscga50									
LMU München, Germany	Deutschland	München	Q1726	Ludwig-Maximilians Universität München	Universität	Q55044	http://www.wikidata.org/entity/Q55044	Ludwig-Maximilians-Universität München	Q21887	05591te55	https://ror.org/05591te55									
Ludwig Forum für Internationale Kunst, Germany	Deutschland			Ludwig Forum für Internationale Kunst	Museum	Q464386	http://www.wikidata.org/entity/Q464386	Ludwig Forum für Internationale Kunst		00akpdm49	https://ror.org/00akpdm49									
Ludwig-Maximilians-Universität München, Germany	Deutschland	München	Q1726	Ludwig-Maximilians Universität München	Universität	Q55044	http://www.wikidata.org/entity/Q55044	Ludwig-Maximilians-Universität München	Q21887	05591te55	https://ror.org/05591te55									
Luxembourg Centre for Contemporary and Digital History (C2DH), Luxembourg	Luxemburg	Luxemburg	Q1842	Universität Luxemburg	Universität	Q59668	http://www.wikidata.org/entity/Q59668	Universität Luxemburg		036x5ad56	https://ror.org/036x5ad56		Centre for Contemporary and Digital History (C2DH)	Q74434404	http://www.wikidata.org/entity/Q74434404	Luxembourg Centre for Contemporary and Digital History (C2DH)				
National Research University Higher School of Economics Moscow	Russland	Moskau	Q649	National Research University Higher School of Economics	Universität	Q1959511	http://www.wikidata.org/entity/Q1959511	Nationale Forschungsuniversität - Hochschule der Wirtschaftswissenschaft		055f7t516	https://ror.org/055f7t516									
Österreichische Akademie der Wissenschaften, Austria	Österreich	Wien	Q1741	Österreichische Akademie der Wissenschaften	Akademie	Q299015	http://www.wikidata.org/entity/Q299015	Österreichische Akademie der Wissenschaften	Q399974	03anc3s24	https://ror.org/03anc3s24									
Österreichische Akademie der Wissenschaften, Austrian Centre for Digital Humanities and Cultural Heritage (ACDH-CH)	Österreich	Wien	Q1741	Österreichische Akademie der Wissenschaften	Akademie	Q299015	http://www.wikidata.org/entity/Q299015	Österreichische Akademie der Wissenschaften	Q399974	03anc3s24	https://ror.org/03anc3s24		Austrian Centre for Digital Humanities and Cultural Heritage	Q30268470	http://www.wikidata.org/entity/Q30268470	Austrian Centre for Digital Humanities and Cultural Heritage		028bsh698	https://ror.org/028bsh698	
Rheinische Friedrich-Wilhelms-Universität Bonn, Deutschland	Deutschland	Bonn	Q586	Rheinische Friedrich-Wilhelms-Universität Bonn	Universität	Q152171	http://www.wikidata.org/entity/Q152171	Rheinische Friedrich-Wilhelms-Universität Bonn	Q30812	041nas322	https://ror.org/041nas322									
Ruhr-Universität Bochum, Deutschland	Deutschland	Bochum	Q2103	Ruhr-Universität Bochum	Universität	Q309948	http://www.wikidata.org/entity/Q309948	Ruhr-Universität Bochum	Q398970	04tsk2644	https://ror.org/04tsk2644									
Ruhr-Universität Bochum, Germany	Deutschland	Bochum	Q2103	Ruhr-Universität Bochum	Universität	Q309948	http://www.wikidata.org/entity/Q309948	Ruhr-Universität Bochum	Q398970	04tsk2644	https://ror.org/04tsk2644									
Schweizerisches Literaturarchiv	Schweiz			Schweizerisches Literaturarchiv	Archiv	Q675617	http://www.wikidata.org/entity/Q675617	Schweizerisches Literaturarchiv												
Spezielle Botanik und Funktionelle Biodiversität, Universität Leipzig	Deutschland	Leipzig	Q2079	Universität Leipzig	Universität	Q154804	http://www.wikidata.org/entity/Q154804	Universität Leipzig	Q22261	03s7gtk40	https://ror.org/03s7gtk40									
Deutsches Zentrum für integrative Biodiversitätsforschung (iDiv), Halle-Jena-Leipzig	Deutschland	Jena	Q3150	Deutsches Zentrum für integrative Biodiversitätsforschung (iDiv)		Q1206134	http://www.wikidata.org/entity/Q1206134	Deutsches Zentrum für integrative Biodiversitätsforschung		01jty7g66	https://ror.org/01jty7g66									
Max-Planck-Institut für Biogeochemie, Jena	Deutschland	Jena	Q3150	Max-Planck-Institut für Biogeochemie Jena		Q1912063	http://www.wikidata.org/entity/Q1912063	Max-Planck-Institut für Biogeochemie		051yxp643	https://ror.org/051yxp643									
Spotlight on Innovation (SPOTIN) NPCC, Greece	Griechenland			Spotlight on Innovation (SPOTIN) NPCC																
Technische Universität Darmstadt, Deutschland	Deutschland	Darmstadt	Q2973	Technische Universität Darmstadt	Universität	Q310695	http://www.wikidata.org/entity/Q310695	Technische Universität Darmstadt	Q248210	05n911h24	https://ror.org/05n911h24									
Technische Universität Darmstadt, Germany	Deutschland	Darmstadt	Q2973	Technische Universität Darmstadt	Universität	Q310695	http://www.wikidata.org/entity/Q310695	Technische Universität Darmstadt	Q248210	05n911h24	https://ror.org/05n911h24									
Technische Universität Darmstadt	Deutschland	Darmstadt	Q2973	Technische Universität Darmstadt	Universität	Q310695	http://www.wikidata.org/entity/Q310695	Technische Universität Darmstadt	Q248210	05n911h24	https://ror.org/05n911h24									
The Open University, United Kingdom	Vereinigtes Königreich			The Open University	Universität	Q2413375	http://www.wikidata.org/entity/Q2413375	The Open University		05mzfcs16	https://ror.org/05mzfcs16									
Theodor-Fontane-Archiv, Universität Potsdam	Deutschland	Potsdam	Q1711	Universität Potsdam	Universität	Q153012	http://www.wikidata.org/entity/Q153012	Universität Potsdam	Q245478	03bnmw459	https://ror.org/03bnmw459		Theodor-Fontane-Archiv	Q2417184	http://www.wikidata.org/entity/Q2417184	Theodor-Fontane-Archiv				
Thüringer Universitäts- und Landesbibliothek, Germany	Deutschland			Thüringer Universitäts- und Landesbibliothek	Bibliothek	Q1255096	http://www.wikidata.org/entity/Q1255096	Thüringer Universitäts- und Landesbibliothek	Q219437	0493yt138	https://ror.org/0493yt138									
TU Darmstadt, Germany	Deutschland	Darmstadt	Q2973	Technische Universität Darmstadt	Universität	Q310695	http://www.wikidata.org/entity/Q310695	Technische Universität Darmstadt	Q248210	05n911h24	https://ror.org/05n911h24									
TU Dresden, Germany	Deutschland	Dresden	Q1731	Technische Universität Dresden	Universität	Q158158	http://www.wikidata.org/entity/Q158158	Technische Universität Dresden	Q271297	042aqky30	https://ror.org/042aqky30									
UCLAB, Fachhochschule Potsdam, Germany	Deutschland	Potsdam	Q1711	Fachhochschule Potsdam	Fachhochschule	Q896706	http://www.wikidata.org/entity/Q896706	Fachhochschule Potsdam		012m9bp23	https://ror.org/012m9bp23									
Universität Bamberg	Deutschland	Bamberg	Q3936	Otto-Friedrich-Universität Bamberg	Universität	Q707272	http://www.wikidata.org/entity/Q707272	Otto-Friedrich-Universität Bamberg	Q172923	01c1w6d29	https://ror.org/01c1w6d29									
Universität Bielefeld, Germany	Deutschland	Bielefeld	Q2112	Universität Bielefeld	Universität	Q24382	http://www.wikidata.org/entity/Q24382	Universität Bielefeld		02hpadn98	https://ror.org/02hpadn98									
Universität Bielefeld	Deutschland	Bielefeld	Q2112	Universität Bielefeld	Universität	Q24382	http://www.wikidata.org/entity/Q24382	Universität Bielefeld		02hpadn98	https://ror.org/02hpadn98									
Universität Graz, Austria	Österreich	Graz	Q13298	Karl-Franzens-Universität Graz	Universität	Q622683	http://www.wikidata.org/entity/Q622683	Universität Graz	Q175366	01faaaf77	https://ror.org/01faaaf77									
Universität Hamburg, Deutschland	Deutschland	Hamburg	Q1055	Universität Hamburg	Universität	Q156725	http://www.wikidata.org/entity/Q156725	Universität Hamburg	Q172914	00g30e956	https://ror.org/00g30e956									
Universität Hamburg, Germany	Deutschland	Hamburg	Q1055	Universität Hamburg	Universität	Q156725	http://www.wikidata.org/entity/Q156725	Universität Hamburg	Q172914	00g30e956	https://ror.org/00g30e956									
Universität Köln, Germany	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774									
Universität Leipzig, Deutschland	Deutschland	Leipzig	Q2079	Universität Leipzig	Universität	Q154804	http://www.wikidata.org/entity/Q154804	Universität Leipzig	Q22261	03s7gtk40	https://ror.org/03s7gtk40									
Universität Leipzig, Germany	Deutschland	Leipzig	Q2079	Universität Leipzig	Universität	Q154804	http://www.wikidata.org/entity/Q154804	Universität Leipzig	Q22261	03s7gtk40	https://ror.org/03s7gtk40									
Universität Paderborn, Germany	Deutschland	Paderborn	Q2971	Universität Paderborn	Universität	Q679134	http://www.wikidata.org/entity/Q679134	Universität Paderborn	Q399791	058kzsd48	https://ror.org/058kzsd48									
Universität Potsdam, Germany	Deutschland	Potsdam	Q1711	Universität Potsdam	Universität	Q153012	http://www.wikidata.org/entity/Q153012	Universität Potsdam	Q245478	03bnmw459	https://ror.org/03bnmw459									
Universität Potsdam	Deutschland	Potsdam	Q1711	Universität Potsdam	Universität	Q153012	http://www.wikidata.org/entity/Q153012	Universität Potsdam	Q245478	03bnmw459	https://ror.org/03bnmw459									
Universität Rostock, Germany	Deutschland	Rostock	Q2861	Universität Rostock	Universität	Q159895	http://www.wikidata.org/entity/Q159895	Universität Rostock	Q22468	03zdwsf69	https://ror.org/03zdwsf69									
Universität Stuttgart, Germany	Deutschland	Stuttgart	Q1022	Universität Stuttgart	Universität	Q122453	http://www.wikidata.org/entity/Q122453	Universität Stuttgart	Q160232	04vnq7t77	https://ror.org/04vnq7t77									
Universität Stuttgart, Institut für maschinelle Sprachverarbeitung	Deutschland	Stuttgart	Q1022	Universität Stuttgart	Universität	Q122453	http://www.wikidata.org/entity/Q122453	Universität Stuttgart	Q160232	04vnq7t77	https://ror.org/04vnq7t77		Institut für Maschinelle Sprachverarbeitung	Q101391432	http://www.wikidata.org/entity/Q101391432	Universität Stuttgart Institut für Maschinelle Sprachverarbeitung				
Universität Stuttgart	Deutschland	Stuttgart	Q1022	Universität Stuttgart	Universität	Q122453	http://www.wikidata.org/entity/Q122453	Universität Stuttgart	Q160232	04vnq7t77	https://ror.org/04vnq7t77									
Universität Trier, Germany	Deutschland	Trier	Q3138	Universität Trier	Universität	Q702486	http://www.wikidata.org/entity/Q702486	Universität Trier		02778hg05	https://ror.org/02778hg05									
Universität Tübingen, Germany	Deutschland	Tübingen	Q3806	Eberhard Karls Universität Tübingen	Universität	Q153978	http://www.wikidata.org/entity/Q153978	Eberhard Karls Universität Tübingen	Q21893	03a1kwz48	https://ror.org/03a1kwz48									
Universität zu Köln, Deutschland	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774									
Universität zu Köln, Germany	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774									
Universitätsbibliothek Braunschweig, Deutschland	Deutschland	Braunschweig	Q2773	Universitätsbibliothek Braunschweig	Bibliothek	Q2496287	http://www.wikidata.org/entity/Q2496287	Universitätsbibliothek Braunschweig												
Universitätsbibliothek Erlangen-Nürnberg	Deutschland			Universitätsbibliothek Erlangen-Nürnberg	Bibliothek	Q15979678	http://www.wikidata.org/entity/Q15979678	Universitätsbibliothek Erlangen-Nürnberg	Q148427											
University of Zurich	Schweiz	Zürich	Q72	Universität Zürich	Universität	Q206702	http://www.wikidata.org/entity/Q206702	Universität Zürich	Q175618	02crff812	https://ror.org/02crff812									
Wienbibliothek im Rathaus, Austria	Österreich	Wien	Q1741	Wienbibliothek im Rathaus	Bibliothek	Q2568831	http://www.wikidata.org/entity/Q2568831	Wienbibliothek im Rathaus		01xzsbk70	https://ror.org/01xzsbk70									
Xorostasi NPCC, Greece	Griechenland			Xorostasi NPCC																
Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz, Österreich	Österreich	Graz	Q13298	Karl-Franzens-Universität Graz	Universität	Q622683	http://www.wikidata.org/entity/Q622683	Universität Graz	Q175366	01faaaf77	https://ror.org/01faaaf77		Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities							
Akademie der Wissenschaften und der Literatur	Deutschland	Mainz	Q1720	Akademie der Wissenschaften und der Literatur Mainz	Akademie	Q414163	http://www.wikidata.org/entity/Q414163	Akademie der Wissenschaften und der Literatur Mainz	Q230422	01kdxra28	https://ror.org/01kdxra28									
Mainz, Deutschland	Deutschland	Mainz	Q1720																	
Akademie der Wissenschaften und der Literatur Mainz, Deutschland	Deutschland	Mainz	Q1720	Akademie der Wissenschaften und der Literatur Mainz	Akademie	Q414163	http://www.wikidata.org/entity/Q414163	Akademie der Wissenschaften und der Literatur Mainz	Q230422	01kdxra28	https://ror.org/01kdxra28									
Albert-Ludwigs-Universität Freiburg	Deutschland	Freiburg	Q2833	Albert-Ludwigs-Universität Freiburg	Universität	Q153987	http://www.wikidata.org/entity/Q153987	Albert-Ludwigs-Universität Freiburg	Q27901	0245cg223	https://ror.org/0245cg223									
Austrian Academy of Sciences, Österreich	Österreich	Wien	Q1741	Österreichische Akademie der Wissenschaften	Akademie	Q299015	http://www.wikidata.org/entity/Q299015	Österreichische Akademie der Wissenschaften	Q399974	03anc3s24	https://ror.org/03anc3s24									
Austrian Center for Digital Humanities, Österreichische Akademie der Wissenschaften	Österreich	Wien	Q1741	Österreichische Akademie der Wissenschaften	Akademie	Q299015	http://www.wikidata.org/entity/Q299015	Österreichische Akademie der Wissenschaften	Q399974	03anc3s24	https://ror.org/03anc3s24		Austrian Centre for Digital Humanities and Cultural Heritage	Q30268470	http://www.wikidata.org/entity/Q30268470	Austrian Centre for Digital Humanities and Cultural Heritage		028bsh698	https://ror.org/028bsh698	
Bayerische Akademie der Wissenschaften, Deutschland	Deutschland	München	Q1726	Bayerische Akademie der Wissenschaften	Akademie	Q684415	http://www.wikidata.org/entity/Q684415	Bayerische Akademie der Wissenschaften	Q164305	001rdaz60	https://ror.org/001rdaz60									
Bayerische Akademie der Wissenschaften, München	Deutschland	München	Q1726	Bayerische Akademie der Wissenschaften	Akademie	Q684415	http://www.wikidata.org/entity/Q684415	Bayerische Akademie der Wissenschaften	Q164305	001rdaz60	https://ror.org/001rdaz60									
Bayerische Staatsbilbliothek, München	Deutschland	München	Q1726	Bayerische Staatsbibliothek	Bibliothek	Q256507	http://www.wikidata.org/entity/Q256507	Bayerische Staatsbibliothek	Q153197	031h71w90	https://ror.org/031h71w90									
Bergische Universität Wuppertal, Deutschland	Deutschland	Wuppertal	Q2107	Bergische Universität Wuppertal	Universität	Q447953	http://www.wikidata.org/entity/Q447953	Bergische Universität Wuppertal		00613ak93	https://ror.org/00613ak93									
